context_id,context_text,question,answer_text,answer_start,q_type,split
ctx_signs_and_symptoms_in_humans,"Exposure to avian influenza viruses can lead to infection and disease in humans, ranging from mild, flu-like symptoms or eye inflammation to severe, acute respiratory disease and/or death. Disease severity will depend upon the virus causing the infection and the characteristics of the infected individual. Rarely, gastrointestinal and neurological symptoms have been reported. The case fatality rate for A(H5) and A(H7N9) subtype virus infections among humans is higher than that of seasonal influenza infections.",What can signs and symptoms in humans lead to?,"infection and disease in humans, ranging from mild, flu-like symptoms or eye inflammation to severe, acute respiratory disease and/or death",48,complications,dev
ctx_overview,"Cholera is an acute diarrheal infection caused by consuming food or water contaminated with the bacterium Vibrio cholerae. It is a global public health threat and indicates inequity and lack of social and economic development. Access to safe water, basic sanitation and hygiene is essential to prevent cholera and other waterborne diseases. Most people with cholera have mild or moderate diarrhoea and can be treated with oral rehydration solution (ORS). However, the disease can progress rapidly, so starting treatment quickly is vital to save lives. Patients with severe disease need intravenous fluids, ORS and antibiotics. Countries need strong epidemiological and laboratory surveillance to swiftly detect and monitor outbreaks and guide responses.",What causes overview?,consuming food or water contaminated with the bacterium Vibrio cholerae,50,cause,test
ctx_overview,"Cholera is an acute diarrheal infection caused by consuming food or water contaminated with the bacterium Vibrio cholerae. It is a global public health threat and indicates inequity and lack of social and economic development. Access to safe water, basic sanitation and hygiene is essential to prevent cholera and other waterborne diseases. Most people with cholera have mild or moderate diarrhoea and can be treated with oral rehydration solution (ORS). However, the disease can progress rapidly, so starting treatment quickly is vital to save lives. Patients with severe disease need intravenous fluids, ORS and antibiotics. Countries need strong epidemiological and laboratory surveillance to swiftly detect and monitor outbreaks and guide responses.",What is the treatment for overview?,oral rehydration solution (ORS),422,treatment,test
ctx_vibrio_cholerae_strains,"Only two serogroups, O1 and O139, cause cholera outbreaks. V. cholerae O1 has caused all recent outbreaks. V. cholerae O139 caused outbreaks in Asia in the past but has recently only been identified in sporadic cases. There is no difference in the illness caused by the two serogroups.",What causes vibrio cholerae strains?,the two serogroups,266,cause,dev
ctx_treatment,"Cholera is an easily treatable disease. Most people can be treated successfully with prompt ORS administration. Severely dehydrated patients are at risk of dying from dehydration and need rapid intravenous fluids. They also receive oral rehydration solution and antibiotics. Patients with underlying conditions or comorbidities may require additional care in specific treatment centres. The case fatality rate in treatment centres should remain below 1%. Community access to ORS is essential during a cholera outbreak. Mass administration of antibiotics to prevent cholera (chemoprophylaxis) is not recommended, as it has no proven effect on the spread of cholera and may contribute to antimicrobial resistance.",How can treatment be prevented?,as it has no proven effect on the spread of cholera and may contribute to antimicrobial resistance,612,prevention,test
ctx_global_task_force_on_cholera_con,"The Global Task Force on Cholera Control (GTFCC) is a partnership of governmental and nongovernmental organizations, UN agencies and academic institutions with a common mission to reduce the global cholera burden. The GTFCC Secretariat is hosted by WHO. GTFCC partners work to: develop global strategies for cholera prevention and control; support countries in long-term control or elimination of cholera through the development of national cholera plans (NCPs); develop and disseminate technical guidelines and operational manuals; support a research agenda to evaluate innovative approaches to cholera prevention and control in affected countries; and increase the visibility of cholera as an important global public health problem.",What is global task force on cholera control?,"partnership of governmental and nongovernmental organizations, UN agencies and academic institutions with a common mission to reduce the global cholera burden",54,definition,dev
ctx_overview,"COVID-19 is the disease caused by the SARS-CoV-2 coronavirus. It usually spreads between people in close contact. COVID-19 vaccines provide strong protection against severe illness and death. Although a person can still get COVID-19 after vaccination, they are more likely to have mild or no symptoms. Anyone can get sick with COVID-19 and become seriously ill or die, but most people will recover without treatment. People over age 60 and those with existing medical conditions have a higher risk of getting seriously ill. These conditions include high blood pressure, diabetes, obesity, immunosuppression including HIV, cancer and pregnancy. Unvaccinated people also have a higher risk of severe symptoms.",What causes overview?,the SARS-CoV-2 coronavirus,34,cause,test
ctx_prevention,"People should get vaccinated as soon as it's their turn. They should follow local guidance on vaccination and ways to protect themselves against COVID-19. COVID-19 vaccines provide strong protection against serious illness, hospitalization and death. To prevent the spread of COVID-19: avoid crowds and keep a safe distance from others, even if they don't appear to be sick; wear a properly fitted mask if you feel sick, have been close to people who are sick, if you are at high-risk, or in crowded or poorly ventilated areas; clean your hands frequently with alcohol-based hand rub or soap and water; cover your mouth and nose with a bent elbow or tissue when you cough or sneeze; dispose of used tissues right away and clean your hands; and if you develop symptoms or test positive for COVID-19, self-isolate until you recover. Vaccination against COVID-19 is based on priority groups such as people aged 60 years and over, and those with underlying medical problems such as high blood pressure, diabetes, chronic health problems, immunosuppression (including HIV), obesity, cancer, pregnant persons, and unvaccinated people. In March 2023, WHO updated its recommendations on primary series vaccination (two doses of any vaccine) as well as the need for booster doses. These recommendations are time-limited and can change at any time depending on how the SARS-CoV-2 virus",How can prevention be prevented?,self-isolate until you recover,799,prevention,dev
ctx_risk_factors,"Modifiable risk factors include unhealthy diets (excessive salt consumption, a diet high in saturated fat and trans fats, low intake of fruits and vegetables), physical inactivity, consumption of tobacco and alcohol, and being overweight or obese. In addition, there are environmental risk factors for hypertension and associated diseases, where air pollution is the most significant. 
Non-modifiable risk factors include a family history of hypertension, age over 65 years and co-existing diseases such as diabetes or kidney disease.",Who is at risk for risk factors?,"unhealthy diets (excessive salt consumption, a diet high in saturated fat and trans fats, low intake of fruits and vegetables), physical inactivity, consumption of tobacco and alcohol, and being overweight or obese",32,risk,test
ctx_complications_of_uncontrolled_hy,"Among other complications, hypertension can cause serious damage to the heart. Excessive pressure can harden arteries, decreasing the flow of blood and oxygen to the heart. This elevated pressure and reduced blood flow can cause: chest pain, also called angina; heart attack, which occurs when the blood supply to the heart is blocked and heart muscle cells die from lack of oxygen. The longer the blood flow is blocked, the greater the damage to the heart; heart failure, which occurs when the heart cannot pump enough blood and oxygen to other vital body organs; and irregular heart beat which can lead to a sudden death. Hypertension can also burst or block arteries that supply blood and oxygen to the brain, causing a stroke. In addition, hypertension can cause kidney damage, leading to kidney failure.",What can complications of uncontrolled hypertension lead to?,a sudden death,608,complications,dev
